Broker_ID,Broker_Name,Location,License_Number,Type,Contact_Info,Commission_Rate
1,Broker_1,Location_1,LN0001,Institutional,contact@broker1.com,0.02
2,Broker_2,Location_2,LN0002,Retail,contact@broker2.com,0.03
3,Broker_3,Location_3,LN0003,Institutional,contact@broker3.com,0.04
4,Broker_4,Location_4,LN0004,Retail,contact@broker4.com,0.05
5,Broker_5,Location_5,LN0005,Institutional,contact@broker5.com,0.01
6,Broker_6,Location_6,LN0006,Retail,contact@broker6.com,0.02
7,Broker_7,Location_7,LN0007,Institutional,contact@broker7.com,0.03
8,Broker_8,Location_8,LN0008,Retail,contact@broker8.com,0.04
9,Broker_9,Location_9,LN0009,Institutional,contact@broker9.com,0.05
10,Broker_10,Location_0,LN0010,Retail,contact@broker10.com,0.01
11,Broker_11,Location_1,LN0011,Institutional,contact@broker11.com,0.02
12,Broker_12,Location_2,LN0012,Retail,contact@broker12.com,0.03
13,Broker_13,Location_3,LN0013,Institutional,contact@broker13.com,0.04
14,Broker_14,Location_4,LN0014,Retail,contact@broker14.com,0.05
15,Broker_15,Location_5,LN0015,Institutional,contact@broker15.com,0.01
16,Broker_16,Location_6,LN0016,Retail,contact@broker16.com,0.02
17,Broker_17,Location_7,LN0017,Institutional,contact@broker17.com,0.03
18,Broker_18,Location_8,LN0018,Retail,contact@broker18.com,0.04
19,Broker_19,Location_9,LN0019,Institutional,contact@broker19.com,0.05
20,Broker_20,Location_0,LN0020,Retail,contact@broker20.com,0.01
21,Broker_21,Location_1,LN0021,Institutional,contact@broker21.com,0.02
22,Broker_22,Location_2,LN0022,Retail,contact@broker22.com,0.03
23,Broker_23,Location_3,LN0023,Institutional,contact@broker23.com,0.04
24,Broker_24,Location_4,LN0024,Retail,contact@broker24.com,0.05
25,Broker_25,Location_5,LN0025,Institutional,contact@broker25.com,0.01
26,Broker_26,Location_6,LN0026,Retail,contact@broker26.com,0.02
27,Broker_27,Location_7,LN0027,Institutional,contact@broker27.com,0.03
28,Broker_28,Location_8,LN0028,Retail,contact@broker28.com,0.04
29,Broker_29,Location_9,LN0029,Institutional,contact@broker29.com,0.05
30,Broker_30,Location_0,LN0030,Retail,contact@broker30.com,0.01
31,Broker_31,Location_1,LN0031,Institutional,contact@broker31.com,0.02
32,Broker_32,Location_2,LN0032,Retail,contact@broker32.com,0.03
33,Broker_33,Location_3,LN0033,Institutional,contact@broker33.com,0.04
34,Broker_34,Location_4,LN0034,Retail,contact@broker34.com,0.05
35,Broker_35,Location_5,LN0035,Institutional,contact@broker35.com,0.01
36,Broker_36,Location_6,LN0036,Retail,contact@broker36.com,0.02
37,Broker_37,Location_7,LN0037,Institutional,contact@broker37.com,0.03
38,Broker_38,Location_8,LN0038,Retail,contact@broker38.com,0.04
39,Broker_39,Location_9,LN0039,Institutional,contact@broker39.com,0.05
40,Broker_40,Location_0,LN0040,Retail,contact@broker40.com,0.01
41,Broker_41,Location_1,LN0041,Institutional,contact@broker41.com,0.02
42,Broker_42,Location_2,LN0042,Retail,contact@broker42.com,0.03
43,Broker_43,Location_3,LN0043,Institutional,contact@broker43.com,0.04
44,Broker_44,Location_4,LN0044,Retail,contact@broker44.com,0.05
45,Broker_45,Location_5,LN0045,Institutional,contact@broker45.com,0.01
46,Broker_46,Location_6,LN0046,Retail,contact@broker46.com,0.02
47,Broker_47,Location_7,LN0047,Institutional,contact@broker47.com,0.03
48,Broker_48,Location_8,LN0048,Retail,contact@broker48.com,0.04
49,Broker_49,Location_9,LN0049,Institutional,contact@broker49.com,0.05
50,Broker_50,Location_0,LN0050,Retail,contact@broker50.com,0.01
