ID,Ticker,DateKey,AccountsPayable,AccountsReceivable,Addlincomeexpenseitems,AfterTaxROE,CapitalExpenditures,CapitalSurplus,CashRatio,CashandCashEquivalents,ChangesinInventories,CommonStocks,CostofRevenue,CurrentRatio,DeferredAssetCharges,DeferredLiabilityCharges,Depreciation,EarningsBeforeInterestandTax,EarningsBeforeTax,EffectofExchangeRate,EquityEarningsLossUnconsolidatedSubsidiary,FixedAssets,Goodwill,GrossMargin,GrossProfit,IncomeTax,IntangibleAssets,InterestExpense,Inventory,Investments,Liabilities,LongTermDebt,LongTermInvestments,MinorityInterest,MiscStocks,NetBorrowings,NetCashFlow,NetCashFlowOperating,NetCashFlowsFinancing,NetCashFlowsInvesting,NetIncome,NetIncomeAdjustments,NetIncomeApplicabletoCommonShareholders,NetIncomeContOperations,NetReceivables,NonRecurringItems,OperatingIncome,OperatingMargin,OtherAssets,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquity,OtherFinancingActivities,OtherInvestingActivities,OtherLiabilities,OtherOperatingActivities,OtherOperatingItems,PreTaxMargin,PreTaxROE,ProfitMargin,QuickRatio,ResearchandDevelopment,RetainedEarnings,SaleandPurchaseofStock,SalesGeneralandAdmin.,ShortTermDebtCurrentPortionofLongTermDebt,ShortTermInvestments,TotalAssets,TotalCurrentAssets,TotalCurrentLiabilities,TotalEquity,TotalLiabilities,TotalLiabilitiesEquity,TotalRevenue,TreasuryStock,ForYear,EarningsPerShare,EstimatedSharesOutstanding,Fund_ID,Broker_ID
0,AAL,31-12-2012,3068000000.0,-222000000,-1961000000,23,-1888000000,4695000000.0,53.0,1330000000.0,0,127000000.0,10499000000.0,78.0,0,223000000,1001000000,-1813000000,-2445000000,0,0,13402000000.0,0.0,58,14356000000.0,-569000000,869000000.0,632000000,580000000,306000000.0,473000000,7116000000.0,0.0,0,0,-1020000000,197000000,1285000000.0,483000000.0,-1571000000.0,-1876000000,2050000000,-1876000000,-4084000000,1124000000,386000000,148000000,1,2167000000.0,626000000,4524000000.0,-2980000000,1509000000,11000000,15147000000.0,-141000000,845000000,10,31,8,72.0,0,-9462000000.0,0,12977000000,1419000000.0,3412000000.0,23510000000.0,7072000000.0,9011000000,-7987000000.0,24891000000.0,16904000000.0,24855000000.0,-367000000.0,2012.0,-5.6,335000000.0,1,1
1,AAL,31-12-2013,4975000000.0,-93000000,-2723000000,67,-3114000000,10592000000.0,75.0,2175000000.0,0,5000000.0,11019000000.0,104.0,0,935000000,1020000000,-1324000000,-2180000000,0,0,19259000000.0,4086000000.0,59,15724000000.0,-346000000,2311000000.0,856000000,1012000000,-1181000000.0,-235000000,15353000000.0,0.0,0,0,2208000000,660000000,675000000.0,3799000000.0,-3814000000.0,-1834000000,1873000000,-1834000000,-4489000000,1560000000,559000000,1399000000,5,2299000000.0,1465000000,7385000000.0,-2032000000,1711000000,481000000,14915000000.0,-56000000,853000000,8,80,7,96.0,0,-11296000000.0,0,12913000000,1446000000.0,8111000000.0,42278000000.0,14323000000.0,13806000000,-2731000000.0,45009000000.0,42278000000.0,26743000000.0,0.0,2013.0,-11.25,163022222.2,90,40
2,AAL,31-12-2014,4668000000.0,-160000000,-150000000,143,-5311000000,15135000000.0,60.0,1768000000.0,0,7000000.0,15620000000.0,88.0,0,829000000,1342000000,4099000000,3212000000,0,0,23084000000.0,4091000000.0,63,27030000000.0,330000000,2240000000.0,887000000,1004000000,1799000000.0,-1026000000,16043000000.0,0.0,0,0,170000000,-146000000,3080000000.0,-315000000.0,-2911000000.0,2882000000,542000000,2882000000,2882000000,1771000000,800000000,4249000000,10,2060000000.0,898000000,7059000000.0,-4559000000,817000000,601000000,10928000000.0,-500000000,1295000000,8,159,7,80.0,0,-8562000000.0,-1052000000,20686000000,1677000000.0,6309000000.0,43225000000.0,11750000000.0,13404000000,2021000000.0,41204000000.0,43225000000.0,42650000000.0,0.0,2014.0,4.02,716915422.9,31,31
3,AAL,31-12-2015,5102000000.0,352000000,-708000000,135,-6151000000,11591000000.0,51.0,1085000000.0,0,6000000.0,11096000000.0,73.0,2477000000,667000000,1487000000,5496000000,4616000000,0,0,27510000000.0,4091000000.0,73,29894000000.0,-2994000000,2249000000.0,880000000,863000000,443000000.0,-633000000,18330000000.0,0.0,0,0,2856000000,-604000000,6249000000.0,-1259000000.0,-5594000000.0,7610000000,-2662000000,7610000000,7610000000,1425000000,1051000000,6204000000,15,2103000000.0,748000000,6272000000.0,-4732000000,96000000,114000000,10178000000.0,95000000,1364000000,11,82,19,67.0,0,-1230000000.0,-3846000000,21275000000,2231000000.0,5864000000.0,48415000000.0,9985000000.0,13605000000,5635000000.0,42780000000.0,48415000000.0,40990000000.0,0.0,2015.0,11.39,668129938.5,57,7
13,ABBV,31-12-2013,6448000000.0,681000000,-54000000,92,-491000000,3671000000.0,144.0,9595000000.0,-56000000,16000000.0,4581000000.0,259.0,0,0,897000000,5610000000,5332000000,-10000000,0,2298000000.0,6277000000.0,76,14209000000.0,1204000000,1890000000.0,278000000,1150000000,1775000000.0,-426000000,14292000000.0,118000000.0,0,0,-601000000,3694000000,6267000000.0,-3442000000.0,879000000.0,4128000000,584000000,4128000000,4128000000,5569000000,338000000,5664000000,30,767000000.0,1234000000,0.0,-442000000,-313000000,-405000000,3535000000.0,459000000,0,28,119,22,243.0,2855000000,1567000000.0,27000000,5352000000,431000000.0,300000000.0,29198000000.0,17848000000.0,6879000000,4492000000.0,24706000000.0,29198000000.0,18790000000.0,-320000000.0,2013.0,2.58,1600000000.0,53,3
14,ABBV,31-12-2014,6954000000.0,-172000000,-651000000,102,-612000000,4194000000.0,74.0,8348000000.0,-203000000,16000000.0,4426000000.0,141.0,0,159000000,786000000,2760000000,2369000000,-577000000,0,2485000000.0,5862000000.0,78,15534000000.0,595000000,1513000000.0,391000000,1124000000,308000000.0,-193000000,10538000000.0,92000000.0,0,0,-5000000,-1247000000,3549000000.0,-3293000000.0,-926000000.0,1774000000,1777000000,1774000000,1774000000,4631000000,352000000,3411000000,17,1480000000.0,1952000000,0.0,-2031000000,-59000000,-622000000,3681000000.0,-220000000,0,12,136,9,131.0,3297000000,535000000.0,-427000000,8474000000,4439000000.0,26000000.0,27513000000.0,16081000000.0,11393000000,1742000000.0,25771000000.0,27513000000.0,19960000000.0,-972000000.0,2014.0,1.11,1598198198.0,33,33
15,ABBV,31-12-2015,8463000000.0,-1076000000,-206000000,130,-532000000,13080000000.0,77.0,8399000000.0,-434000000,17000000.0,4500000000.0,150.0,0,5276000000,836000000,7331000000,6645000000,-300000000,0,2565000000.0,13168000000.0,80,18359000000.0,1501000000,19709000000.0,686000000,1719000000,29000000.0,1503000000,29240000000.0,145000000.0,0,0,16623000000,51000000,7535000000.0,5752000000.0,-12936000000.0,5144000000,1051000000,5144000000,5144000000,4730000000,150000000,7537000000,33,1149000000.0,1458000000,0.0,-2561000000,30000000,-12433000000,3695000000.0,511000000,0,29,168,23,134.0,4285000000,2248000000.0,-7425000000,6387000000,2431000000.0,8000000.0,53050000000.0,16314000000.0,10894000000,3945000000.0,49105000000.0,53050000000.0,22859000000.0,-8839000000.0,2015.0,3.15,1633015873.0,93,43
16,ABC,30-09-2013,14870635000.0,-2312518000,-44000,19,-202450000,2360992000.0,8.0,1231006000.0,-1486572000,2678000.0,85451348000.0,97.0,0,0,170793000,898355000,824458000,0,0,803561000.0,0.0,3,2507819000.0,331023000,3499713000.0,73897000,6981494000,0.0,3830847000,1396606000.0,0.0,0,0,0,164398000,788125000.0,-740987000.0,117260000.0,433707000,235476000,433707000,493435000,6051920000,0,898399000,1,221713000.0,129231000,0.0,-35483000,-50538000,319710000,331652000.0,-169745000,162186000,1,36,0,50.0,0,1508414000.0,-328463000,1447234000,0.0,0.0,18918638000.0,14393651000.0,14870635000,2319745000.0,16598893000.0,18918638000.0,87959167000.0,-1516856000.0,2013.0,1.88,230695212.8,5,5
17,ABC,30-09-2014,17250160000.0,-938286000,-28594000,14,-264457000,2749185000.0,10.0,1808513000.0,-1304569000,2711000.0,117000000000.0,97.0,0,241205000,196617000,753497000,669863000,0,0,899582000.0,0.0,2,2982366000.0,388087000,3481744000.0,83634000,8593852000,-117794000.0,2310596000,1995632000.0,0.0,0,0,566402000,577507000,1464654000.0,-502992000.0,-384155000.0,274230000,912505000,274230000,281776000,6312883000,0,782091000,1,350652000.0,84957000,0.0,-52046000,0,-1904000,88287000.0,21107000,188680000,1,34,0,48.0,0,1570429000.0,-626020000,2011595000,0.0,0.0,21532183000.0,16800205000.0,17250160000,1956899000.0,19575284000.0,21532183000.0,120000000000.0,-2313380000.0,2014.0,1.22,224778688.5,21,21
18,ABC,30-09-2015,21578227000.0,-1478793000,-44220000,22,-231585000,3736477000.0,10.0,2167442000.0,-1379189000,2750000.0,132000000000.0,94.0,0,1944240000,255988000,378000000,268964000,0,0,1192510000.0,4144391000.0,3,3529313000.0,407129000,1993119000.0,109036000,9755094000,-86214000.0,5122127000,3739225000.0,0.0,0,0,1496390000,358929000,3922228000.0,-632134000.0,-2931165000.0,-138165000,1577391000,-138165000,-138165000,8222951000,0,422220000,0,298474000.0,189001000,0.0,-136333000,0,-2613366000,84904000.0,-37131000,248635000,0,44,0,49.0,0,1164489000.0,-1665115000,2858458000,0.0,0.0,27962982000.0,20334488000.0,21578227000,616386000.0,27346596000.0,27962982000.0,136000000000.0,-4150997000.0,2015.0,-0.62,222846774.2,64,14
